Accession	gbseq_locus	gbseq_length	gbseq_strandedness	gbseq_moltype	gbseq_topology	gbseq_division	gbseq_update-date	gbseq_create-date	gbseq_definition	gbseq_primary-accession	gbseq_accession-version	gbseq_other-seqids	gbseq_source	gbseq_organism	gbseq_taxonomy	gbseq_references	altitude	authority	bio_material	biotype	biovar	breed	cell_line	cell_type	chemovar	clone	collected_by	collection_date	country	cultivar	culture_collection	dev_stage	ecotype	forma	forma_specialis	fwd_primer_name	fwd_primer_seq	genotype	haplogroup	haplotype	host	identified_by	isolate	isolation source	lab_host	lat_lon	note	pathovar	pop_variant	rev_primer_name	rev_primer_seq	segment	serogroup	serotype	serovar	sex	specimen_voucher	strain	sub_species	subclone	substrain	subtype	tissue_lib	tissue_type	type	variety
MN886937	NC_044946	184368	double	DNA	linear	VRL	07-JAN-2023	02-OCT-2019	African swine fever virus strain Ken06.Bus, complete genome	NC_044946	NC_044946.1	['ref|NC_044946.1|', 'gi|1755167291']	African swine fever virus	African swine fever virus	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus	[{'GBReference_reference': '1', 'GBReference_position': '1..184368', 'GBReference_authors': ['Bishop,R.P.', 'Fleischauer,C.', 'de Villiers,E.P.', 'Okoth,E.A.', 'Arias,M.', 'Gallardo,C.', 'Upton,C.'], 'GBReference_title': 'Comparative analysis of the complete genome sequences of Kenyan African swine fever virus isolates within p72 genotypes IX and X', 'GBReference_journal': 'Virus Genes 50 (2), 303-309 (2015)', 'GBReference_xref': [{'GBXref_dbname': 'doi', 'GBXref_id': '10.1007/s11262-014-1156-7'}], 'GBReference_pubmed': '25645905'}, {'GBReference_reference': '2', 'GBReference_position': '1..184368', 'GBReference_consortium': 'NCBI Genome Project', 'GBReference_title': 'Direct Submission', 'GBReference_journal': 'Submitted (02-OCT-2019) National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA'}, {'GBReference_reference': '3', 'GBReference_position': '1..184368', 'GBReference_authors': ['Bishop,R.P.', 'Fleischauer,C.', 'de Villiers,E.P.', 'Okoth,E.A.', 'Arias,M.', 'Gallardo,C.', 'Upton,C.'], 'GBReference_title': 'Direct Submission', 'GBReference_journal': 'Submitted (07-JUL-2014) Biochemistry and Microbiology, University of Victoria, 3800 Finnerty Road, Victoria, BC V8P 5C2, Canada'}]	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	2006	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	Ken06.Bus	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a
MN886937	MH025917	188628	double	DNA	linear	VRL	16-JUL-2018	16-JUL-2018	African swine fever virus strain R7, complete genome	MH025917	MH025917.1	['gb|MH025917.1|', 'gi|1421584685']	African swine fever virus (ASFV)	African swine fever virus	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus	[{'GBReference_reference': '1', 'GBReference_position': '1..188628', 'GBReference_authors': ['Masembe,C.', 'Sreenu,V.B.', 'Filipe,A.D.S.', 'Wilkie,G.', 'Ogweng,P.', 'Mayega,F.J.', 'Muwanika,V.', 'Biek,R.', 'Palmarini,M.', 'Davison,A.'], 'GBReference_title': 'Five whole genome sequences of African swine fever virus genotype IX from domestic pigs in Uganda', 'GBReference_journal': 'Unpublished'}, {'GBReference_reference': '2', 'GBReference_position': '1..188628', 'GBReference_authors': ['Vattipally,S.'], 'GBReference_title': 'Direct Submission', 'GBReference_journal': 'Submitted (05-MAR-2018) MRC-University of Glasgow Centre for Virus Research, University of Glasgow, 464 Bearsden Road, Glasgow G61 1QH, United Kingdom'}]	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	31-May-2015	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	Sus scrofa domesticus	n.a	n.a	n.a	n.a	n.a	acronym: ASFV; genotype: IX	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	R7	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a
MN886937	MH025920	188629	double	DNA	linear	VRL	16-JUL-2018	16-JUL-2018	African swine fever virus strain R35, complete genome	MH025920	MH025920.1	['gb|MH025920.1|', 'gi|1421586857']	African swine fever virus (ASFV)	African swine fever virus	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus	[{'GBReference_reference': '1', 'GBReference_position': '1..188629', 'GBReference_authors': ['Masembe,C.', 'Sreenu,V.B.', 'Filipe,A.D.S.', 'Wilkie,G.', 'Ogweng,P.', 'Mayega,F.J.', 'Muwanika,V.', 'Biek,R.', 'Palmarini,M.', 'Davison,A.'], 'GBReference_title': 'Five whole genome sequences of African swine fever virus genotype IX from domestic pigs in Uganda', 'GBReference_journal': 'Unpublished'}, {'GBReference_reference': '2', 'GBReference_position': '1..188629', 'GBReference_authors': ['Vattipally,S.'], 'GBReference_title': 'Direct Submission', 'GBReference_journal': 'Submitted (05-MAR-2018) MRC-University of Glasgow Centre for Virus Research, University of Glasgow, 464 Bearsden Road, Glasgow G61 1QH, United Kingdom'}]	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	31-May-2015	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	Sus scrofa domesticus	n.a	n.a	n.a	n.a	n.a	acronym: ASFV; genotype: IX	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	R35	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a
MN886937	MH025919	188611	double	DNA	linear	VRL	16-JUL-2018	16-JUL-2018	African swine fever virus strain N10, complete genome	MH025919	MH025919.1	['gb|MH025919.1|', 'gi|1421586133']	African swine fever virus (ASFV)	African swine fever virus	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus	[{'GBReference_reference': '1', 'GBReference_position': '1..188611', 'GBReference_authors': ['Masembe,C.', 'Sreenu,V.B.', 'Filipe,A.D.S.', 'Wilkie,G.', 'Ogweng,P.', 'Mayega,F.J.', 'Muwanika,V.', 'Biek,R.', 'Palmarini,M.', 'Davison,A.'], 'GBReference_title': 'Five whole genome sequences of African swine fever virus genotype IX from domestic pigs in Uganda', 'GBReference_journal': 'Unpublished'}, {'GBReference_reference': '2', 'GBReference_position': '1..188611', 'GBReference_authors': ['Vattipally,S.'], 'GBReference_title': 'Direct Submission', 'GBReference_journal': 'Submitted (05-MAR-2018) MRC-University of Glasgow Centre for Virus Research, University of Glasgow, 464 Bearsden Road, Glasgow G61 1QH, United Kingdom'}]	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	12-Feb-2015	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	Sus scrofa domesticus	n.a	n.a	n.a	n.a	n.a	acronym: ASFV; genotype: IX	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	N10	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a
MN886937	MH025918	188630	double	DNA	linear	VRL	16-JUL-2018	16-JUL-2018	African swine fever virus strain R25, complete genome	MH025918	MH025918.1	['gb|MH025918.1|', 'gi|1421585444']	African swine fever virus (ASFV)	African swine fever virus	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus	[{'GBReference_reference': '1', 'GBReference_position': '1..188630', 'GBReference_authors': ['Masembe,C.', 'Sreenu,V.B.', 'Filipe,A.D.S.', 'Wilkie,G.', 'Ogweng,P.', 'Mayega,F.J.', 'Muwanika,V.', 'Biek,R.', 'Palmarini,M.', 'Davison,A.'], 'GBReference_title': 'Five whole genome sequences of African swine fever virus genotype IX from domestic pigs in Uganda', 'GBReference_journal': 'Unpublished'}, {'GBReference_reference': '2', 'GBReference_position': '1..188630', 'GBReference_authors': ['Vattipally,S.'], 'GBReference_title': 'Direct Submission', 'GBReference_journal': 'Submitted (05-MAR-2018) MRC-University of Glasgow Centre for Virus Research, University of Glasgow, 464 Bearsden Road, Glasgow G61 1QH, United Kingdom'}]	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	31-May-2015	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	Sus scrofa domesticus	n.a	n.a	n.a	n.a	n.a	acronym: ASFV; genotype: IX	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	R25	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a
MN886937	MH025916	188627	double	DNA	linear	VRL	16-JUL-2018	16-JUL-2018	African swine fever virus strain R8, complete genome	MH025916	MH025916.1	['gb|MH025916.1|', 'gi|1421583893']	African swine fever virus (ASFV)	African swine fever virus	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus	[{'GBReference_reference': '1', 'GBReference_position': '1..188627', 'GBReference_authors': ['Masembe,C.', 'Sreenu,V.B.', 'Filipe,A.D.S.', 'Wilkie,G.', 'Ogweng,P.', 'Mayega,F.J.', 'Muwanika,V.', 'Biek,R.', 'Palmarini,M.', 'Davison,A.'], 'GBReference_title': 'Five whole genome sequences of African swine fever virus genotype IX from domestic pigs in Uganda', 'GBReference_journal': 'Unpublished'}, {'GBReference_reference': '2', 'GBReference_position': '1..188627', 'GBReference_authors': ['Vattipally,S.'], 'GBReference_title': 'Direct Submission', 'GBReference_journal': 'Submitted (05-MAR-2018) MRC-University of Glasgow Centre for Virus Research, University of Glasgow, 464 Bearsden Road, Glasgow G61 1QH, United Kingdom'}]	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	31-May-2015	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	Sus scrofa domesticus	n.a	n.a	n.a	n.a	n.a	acronym: ASFV; genotype: IX	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	R8	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a
MN886937	NC_044945	191058	double	DNA	linear	VRL	07-JAN-2023	02-OCT-2019	African swine fever virus strain Ken05/Tk1, complete genome	NC_044945	NC_044945.1	['ref|NC_044945.1|', 'gi|1755167122']	African swine fever virus	African swine fever virus	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus	[{'GBReference_reference': '1', 'GBReference_position': '1..191058', 'GBReference_authors': ['Bishop,R.P.', 'Fleischauer,C.', 'de Villiers,E.P.', 'Okoth,E.A.', 'Arias,M.', 'Gallardo,C.', 'Upton,C.'], 'GBReference_title': 'Comparative analysis of the complete genome sequences of Kenyan African swine fever virus isolates within p72 genotypes IX and X', 'GBReference_journal': 'Virus Genes 50 (2), 303-309 (2015)', 'GBReference_xref': [{'GBXref_dbname': 'doi', 'GBXref_id': '10.1007/s11262-014-1156-7'}], 'GBReference_pubmed': '25645905'}, {'GBReference_reference': '2', 'GBReference_position': '1..191058', 'GBReference_consortium': 'NCBI Genome Project', 'GBReference_title': 'Direct Submission', 'GBReference_journal': 'Submitted (02-OCT-2019) National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA'}, {'GBReference_reference': '3', 'GBReference_position': '1..191058', 'GBReference_authors': ['Bishop,R.P.', 'Fleischauer,C.', 'de Villiers,E.P.', 'Okoth,E.A.', 'Arias,M.', 'Gallardo,C.', 'Upton,C.'], 'GBReference_title': 'Direct Submission', 'GBReference_journal': 'Submitted (07-JUL-2014) Biochemistry and Microbiology, University of Victoria, 3800 Finnerty Road, Victoria, BC V8P 5C2, Canada'}]	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	2005	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	Ken05/Tk1	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a
MN886937	ASVMCPB	1941	double	DNA	linear	VRL	23-MAR-2005	05-JUL-1994	African swine fever virus major capsid protein gene, complete cds	L27499	L27499.1	['gb|L27499.1|ASVMCPB', 'gi|507943']	African swine fever virus	African swine fever virus	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus	[{'GBReference_reference': '1', 'GBReference_position': '1..1941', 'GBReference_authors': ['Yu,M.', 'Morrissy,C.J.', 'Westbury,H.A.'], 'GBReference_title': 'Strong sequence conservation of African swine fever virus p72 protein provides the molecular basis for its antigenic stability', 'GBReference_journal': 'Arch. Virol. 141 (9), 1795-1802 (1996)', 'GBReference_pubmed': '8893801'}]	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	Uganda	n.a	n.a	n.a	isolated in 1965	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a
MN886937	ASVMCPA	1941	double	DNA	linear	VRL	05-JUL-1994	05-JUL-1994	African swine fever virus major capsid protein gene, complete cds	L27498	L27498.1	['gb|L27498.1|ASVMCPA', 'gi|507941']	African swine fever virus	African swine fever virus	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus	[{'GBReference_reference': '1', 'GBReference_position': '1..1941', 'GBReference_authors': ['Yu,M.', 'Morrissy,C.J.', 'Gould,A.R.', 'Westbury,H.A.'], 'GBReference_title': 'Strong sequence conservation among the major capsid proteins from different strains of African swine fever virus', 'GBReference_journal': 'Unpublished'}]	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	DR-1	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a
MN886937	MN886937	1941	double	DNA	linear	VRL	28-APR-2020	28-APR-2020	African swine fever virus isolate Kitali p72 (B646L) gene, complete cds	MN886937	MN886937.1	['gb|MN886937.1|', 'gi|1834275166']	African swine fever virus	African swine fever virus	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus	[{'GBReference_reference': '1', 'GBReference_position': '1..1941', 'GBReference_authors': ['Wang,Y.', 'Xu,L.', 'Noll,L.', 'Stoy,C.', 'Porter,E.', 'Fu,J.', 'Feng,Y.', 'Peddireddi,L.', 'Liu,X.', 'Dodd,K.A.', 'Jia,W.', 'Bai,J.'], 'GBReference_title': 'Development of a real-time PCR assay for detection of African swine fever virus with an endogenous internal control', 'GBReference_journal': 'Transbound Emerg Dis (2020) In press', 'GBReference_xref': [{'GBXref_dbname': 'doi', 'GBXref_id': '10.1111/tbed.13582'}], 'GBReference_pubmed': '32306531', 'GBReference_remark': 'Publication Status: Available-Online prior to print'}, {'GBReference_reference': '2', 'GBReference_position': '1..1941', 'GBReference_authors': ['Xu,L.', 'Wang,Y.', 'Noll,L.', 'Stoy,C.', 'Porter,E.', 'Fu,J.', 'Feng,Y.', 'Peddireddi,L.', 'Liu,X.', 'Dodd,K.A.', 'Jia,W.', 'Bai,J.'], 'GBReference_title': 'Direct Submission', 'GBReference_journal': 'Submitted (30-DEC-2019) FADDL, USDA, 40550 Route 25, Orient, NY 11957, USA'}]	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	Kitali	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a	n.a
